id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
inv-1767843024085-23bxb1c4b,Salsa de tomate,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Unidad,8640.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:33:43.595Z
inv-1767843024085-3vzrruczr,Mayonesa D&P,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,16700.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:36:42.162Z
inv-1767843024085-96v4hbnfp,Bolsa papel Éxito,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,600.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:41:45.216Z
inv-1767843024085-eg4rvgtv0,Galleta Liberal Guayaba,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,2300.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:36:51.491Z
inv-1767843024085-hi1mtri0d,Limón Tahití,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,1678.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:36:35.477Z
inv-1767843024085-il4gf6m88,Tomate cherry,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Unidad,4225.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:36:07.019Z
inv-1767843024085-kzyqebvls,Baguette,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,7800.0,Éxito,EXITO-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:37:05.899Z
inv-1767844108772-y02sds3pn,Toalla higiénica Kotex tela antibacter,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,3950.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:41:45.216Z
inv-1767844108813-9e4nr33nk,Cinta aislante Tesa colores 10 m,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,3800.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:33:43.595Z
inv-1767844108813-pqa0643eh,Salsa de tomate Bary Doy Pack 200 g,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,4100.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:24:05.900Z
inv-1767844108813-yg05w3ugy,Mezclador de bambú El Sol x 500 uds,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,4900.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:41:45.216Z
inv-1767844108813-yubsxus1l,Salsa mayonesa Bary Doy Pack 200 g,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Unidad,4100.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:23:41.574Z
inv-1767844108814-4wnraypxt,Mostaneza Rancho La Constancia 190 g,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Unidad,6900.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:33:26.255Z
