id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
cmnjwqi7x000ychydpzsbrvft,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-con-leche:L3,,2026-04-05T00:56:48.235Z,,0,2026-04-04T05:44:05.566Z,2026-04-05T00:56:48.235Z
cmnjwqi7z000zchyd1o6u2r4e,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,787,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-con-leche:L4,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.567Z,2026-04-05T00:48:10.092Z
cmnjwqi850016chyday8855f3,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,81.47,"Costo unitario (hoja): $81,5/g | Cantidad (hoja): 15 g",seed:receta:cafe-irlandes:L0,,2026-04-05T00:56:48.240Z,,0,2026-04-04T05:44:05.573Z,2026-04-05T00:56:48.240Z
cmnjwqi860017chydzfdvmhz3,Whisky para cóctel,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,80,Costo unitario (hoja): $80/ml | Cantidad (hoja): 60 ml,seed:receta:cafe-irlandes:L1,,2026-04-05T00:56:48.239Z,,0,2026-04-04T05:44:05.574Z,2026-04-05T00:56:48.239Z
cmnjwqi870018chydtm8whsji,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,Costo unitario (hoja): — | Cantidad (hoja): 60 ml,seed:receta:cafe-irlandes:L2,,2026-04-05T00:56:48.239Z,,0,2026-04-04T05:44:05.575Z,2026-04-05T00:56:48.239Z
cmnjwqi880019chydsi6pywnc,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,7.78,Costo unitario (hoja): — | Cantidad (hoja): 90 ml,seed:receta:cafe-irlandes:L3,,2026-04-05T00:56:48.238Z,,0,2026-04-04T05:44:05.576Z,2026-04-05T00:56:48.238Z
cmnjwqi8b001achydvuvv1c88,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-irlandes:L4,,2026-04-05T00:56:48.237Z,,0,2026-04-04T05:44:05.579Z,2026-04-05T00:56:48.237Z
cmnjwqi8d001bchyd9b05fzd6,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,2227,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-irlandes:L5,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.581Z,2026-04-05T00:48:10.092Z
cmnjwqi8n001jchydmsjueqfe,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,Costo unitario (hoja): — | Cantidad (hoja): 240 ml,seed:receta:vaso-de-leche:L0,,2026-04-05T00:56:48.240Z,,0,2026-04-04T05:44:05.591Z,2026-04-05T00:56:48.240Z
cmnjwqi8t001kchydu7enhqgi,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,600,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:vaso-de-leche:L1,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.597Z,2026-04-05T00:48:10.092Z
